timestamp,size_label,target_bytes,connections,queue_mode,segment_size,buffer_size,http_mode,repeat,avg_mbps,success,error
2026-05-17T00:04:24Z,100MB,104857600,2,true,8388608,524288,auto,1,4.6288,true,
2026-05-17T00:04:46Z,100MB,104857600,2,true,8388608,524288,auto,2,6.3229,true,
2026-05-17T00:05:02Z,100MB,104857600,4,true,8388608,1048576,auto,1,3.9898,true,
2026-05-17T00:05:27Z,100MB,104857600,4,true,8388608,1048576,auto,2,9.5038,true,
